HRBP,EXPCO2,PVSAT,VENTLUNG,PULMEMBOLUS,HYPOVOLEMIA,VENTMACH,KINKEDTUBE,ANAPHYLAXIS,PCWP,TPR,DISCONNECT,SHUNT,CATECHOL,HISTORY,STROKEVOLUME,VENTALV,HREKG,FIO2,PAP,CO,ERRCAUTER,PRESS,ARTCO2,ERRLOWOUTPUT,LVFAILURE,HRSAT,BP,INTUBATION,LVEDVOLUME,HR,CVP,SAO2,INSUFFANESTH,MINVOLSET,VENTTUBE,MINVOL
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,HIGH,LOW,HIGH,TRUE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,TRUE,HIGH,HIGH,FALSE,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,NORMAL,LOW
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,TRUE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,ZERO,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,TRUE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,LOW,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,TRUE,HIGH,HIGH,FALSE,FALSE,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,LOW,ZERO,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,HIGH,TRUE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,HIGH,HIGH,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,NORMAL,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,TRUE,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,ONESIDED,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,HIGH,LOW,FALSE,TRUE,HIGH,FALSE,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,FALSE,LOW,LOW,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,FALSE,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,LOW,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ONESIDED,NORMAL,NORMAL,NORMAL,LOW,FALSE,NORMAL,LOW,LOW
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,HIGH,ZERO,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,HIGH,LOW,FALSE,FALSE,LOW,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH
LOW,LOW,LOW,ZERO,FALSE,TRUE,LOW,FALSE,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,LOW,LOW,HIGH,NORMAL,NORMAL,LOW,FALSE,ZERO,HIGH,FALSE,FALSE,HIGH,LOW,ESOPHAGEAL,HIGH,HIGH,HIGH,LOW,FALSE,LOW,ZERO,LOW
LOW,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,NORMAL,ESOPHAGEAL,NORMAL,NORMAL,NORMAL,LOW,FALSE,NORMAL,LOW,LOW
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
LOW,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
LOW,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,LOW,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,NORMAL,LOW,NORMAL,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,NORMAL,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,LOW
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,NORMAL
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,TRUE,HIGH,HIGH,FALSE,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,NORMAL,FALSE,FALSE,HIGH,HIGH,ONESIDED,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,ZERO,NORMAL
LOW,LOW,NORMAL,ZERO,FALSE,TRUE,NORMAL,TRUE,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,TRUE,LOW,ZERO,LOW,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,TRUE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,TRUE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,TRUE,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,HIGH,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,TRUE,FALSE,NORMAL,FALSE,FALSE,HIGH,NORMAL,TRUE,HIGH,HIGH,FALSE,NORMAL,ZERO,NORMAL,NORMAL,HIGH,HIGH,TRUE,HIGH,HIGH,FALSE,FALSE,NORMAL,HIGH,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,ZERO,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,HIGH,TRUE,FALSE,LOW,HIGH,TRUE,NORMAL,HIGH,TRUE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,ZERO,HIGH,FALSE,TRUE,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW,LOW,FALSE,HIGH,NORMAL,ZERO
NORMAL,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,TRUE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH,TRUE,HIGH,HIGH,FALSE,FALSE,NORMAL,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,LOW,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,LOW,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,ZERO,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,FALSE,HIGH,ZERO,ZERO
LOW,ZERO,HIGH,LOW,FALSE,FALSE,ZERO,FALSE,FALSE,HIGH,HIGH,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL,FALSE,HIGH,LOW,FALSE,FALSE,LOW,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,FALSE,NORMAL,ZERO,HIGH
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,HIGH,LOW,FALSE,FALSE,HIGH,FALSE,FALSE,LOW,LOW,FALSE,NORMAL,HIGH,TRUE,NORMAL,HIGH,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,LOW,FALSE,FALSE,HIGH,LOW,NORMAL,LOW,HIGH,LOW,HIGH,FALSE,HIGH,HIGH,HIGH
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,NORMAL,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,HIGH,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
NORMAL,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,LOW,TRUE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,TRUE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,ZERO,ZERO
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,HIGH,LOW,HIGH,FALSE,FALSE,ZERO,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,ZERO,LOW
HIGH,LOW,LOW,ZERO,FALSE,TRUE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,LOW,ZERO,HIGH,NORMAL,LOW,LOW,FALSE,LOW,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,HIGH,HIGH,FALSE,FALSE,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,HIGH,NORMAL,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,LOW,TRUE,LOW,HIGH,FALSE,FALSE,NORMAL,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
HIGH,LOW,LOW,ZERO,FALSE,FALSE,NORMAL,FALSE,FALSE,NORMAL,LOW,FALSE,NORMAL,HIGH,FALSE,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,FALSE,NORMAL,HIGH,FALSE,FALSE,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,LOW,FALSE,NORMAL,LOW,ZERO
