"N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"StrongUp","Down","WeakUp","StrongUp","StrongUp","Neutral","Wet","Neutral","Wet","Cloudy","Clear","Clear","PC","Strong","Strong","StrongWest","Strong","Weak","Weak","Marked","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","May15_Jun14","E","CThruK","PartInhibit","MoreThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Stability","Average","Average","ACEFK","Stifling","Unfavorable","None","E","XNIL","XNIL","SIG","LowNHighS","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","None","LittleChange","None","SWQuad","Westerly","WidespdDnsl"
"StrongUp","WeakUp","Neutral","WeakUp","WeakUp","Neutral","Dry","Dry","Dry","PC","Clear","PC","PC","Strong","Strong","StrongWest","Strong","None","Strong","Marked","IncCapDecIns","Increasing","Negative","Decreasing","SIG","Jul16_Aug10","B","AB","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Neutral","MoreUnstable","LessUnstable","B","PartInhibit","Weak","None","B","XNIL","XNIL","SIG","LowNHighS","ModerateOrLe","VeryMoist","Steep","NoMajor","DryMMoistL","E_W_S","PosToNeg","Other","SWQuad","LVorOther","E_NE"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Dry","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Weak","StrongWest","Strong","None","Weak","None","LittleChange","LittleChange","Negative","LittleChange","XNIL","May15_Jun14","A","AB","PartInhibit","Average","Average","ABI","LILt_8","Stability","MoreUnstable","MoreUnstable","ACEFK","Stifling","Weak","None","A","XNIL","XNIL","XNIL","HighEvrywher","ModerateOrLe","VeryMoist","Steep","MarkedUpper","Other","DenvCyclone","PosToNeg","QStationary","SWQuad","Westerly","DenvCyclone"
"Down","Down","Neutral","Down","Down","Neutral","Wet","Wet","Wet","PC","PC","PC","Clear","Weak","Weak","StrongWest","Weak","Weak","Weak","Some","IncCapDecIns","Increasing","Negative","LittleChange","SIG","Aug20_Sep15","J","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","GJ","Stifling","Moderate","Slight","J","XNIL","XNIL","SIG","LowAtStation","Stable","Dry","Steep","NoMajor","MoistMDryL","None","NegToPos","Other","LV","LVorOther","SEQuad"
"StrongUp","Neutral","Down","WeakUp","WeakUp","VeryWet","VeryWet","VeryWet","VeryWet","PC","PC","PC","Cloudy","None","None","Westerly","None","None","None","None","IncCapDecIns","Increasing","StrongPos","Increasing","XNIL","Jul2_Jul15","G","CThruK","PartInhibit","Average","MoreThanAve","G","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","GJ","PartInhibit","Strong","Strong","G","SIG","SIG","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","None","LittleChange","None","AllElse","Westerly","LongAnticyc"
"Down","Neutral","Neutral","Down","Down","Wet","VeryWet","Wet","Wet","Cloudy","Clear","Cloudy","Cloudy","Strong","Strong","StrongWest","Strong","None","Strong","Marked","IncCapDecIns","Increasing","WeakPos","LittleChange","SIG","May15_Jun14","D","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","Average","D","Stifling","Moderate","None","D","XNIL","XNIL","SIG","Other","CloseToDryAd","Dry","Steep","StrongFront","DryMMoistL","DryLine","PosToNeg","None","SWQuad","LVorOther","SEQuad"
"Down","Neutral","Down","Down","Down","Dry","Neutral","Dry","Dry","Clear","PC","Clear","Clear","Weak","Strong","Other","Strong","Weak","Strong","Some","LittleChange","LittleChange","StrongPos","Increasing","XNIL","Aug20_Sep15","H","CThruK","PartInhibit","Average","Average","H","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","HI","None","Weak","Moderate","H","XNIL","XNIL","XNIL","HighEvrywher","Stable","Average","CloseToDryAd","MarkedUpper","Other","MovingFtorOt","NegToPos","Moving","LV","LVorOther","E_NE"
"Down","Down","StrongUp","Down","Down","Wet","Neutral","Neutral","Wet","Clear","PC","PC","Clear","None","Strong","StrongWest","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","Negative","Decreasing","SVR","Jun15_Jul1","E","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","LessUnstable","ACEFK","None","Moderate","Moderate","E","SVR","SVR","SVR","LowSHighN","CloseToDryAd","Average","ModerateOrLe","OtherRapid","MoistMDryL","MovingFtorOt","SigNegative","None","SWQuad","Westerly","WidespdDnsl"
"WeakUp","Down","Neutral","Neutral","Neutral","Dry","Wet","Neutral","Neutral","PC","Cloudy","PC","PC","None","Weak","StrongWest","Strong","None","Strong","None","LittleChange","LittleChange","WeakPos","Decreasing","XNIL","May15_Jun14","E","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","LessUnstable","LessUnstable","ACEFK","None","Strong","Strong","E","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Average","Steep","OtherRapid","Other","None","SigNegative","None","SWQuad","Westerly","LV"
"Neutral","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","Westerly","None","Weak","Weak","Some","IncCapDecIns","Increasing","WeakPos","Increasing","SIG","Jul2_Jul15","J","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Neutral","Average","MoreUnstable","GJ","None","Moderate","Strong","J","SVR","SVR","SVR","LowEvrywhere","ModerateOrLe","Dry","Steep","NoMajor","DryMMoistL","E_W_S","PosToNeg","None","LV","LVorOther","DenvCyclone"
"Down","StronUp","Neutral","Neutral","Neutral","Dry","VeryWet","Wet","Wet","PC","Clear","Clear","PC","Strong","Strong","DCVZFavor","Strong","None","Strong","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SVR","Jul16_Aug10","J","CThruK","TotalInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","MoreUnstable","GJ","None","Strong","Strong","J","SVR","SVR","SVR","LowAtStation","Steep","Dry","Steep","NoMajor","DryMMoistL","Other","LittleChange","None","LV","LVorOther","SEQuad"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","VeryWet","Wet","Wet","PC","PC","Clear","Clear","None","Strong","StrongWest","Strong","Weak","Strong","Marked","DecCapIncIns","Decreasing","WeakPos","Decreasing","SIG","May15_Jun14","D","CThruK","Stifling","Average","LessThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","Average","D","None","Moderate","Strong","D","XNIL","XNIL","SIG","LowMtsHighPl","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","DryMMoistL","None","SigNegative","None","SWQuad","Westerly","LongAnticyc"
"Neutral","Neutral","Neutral","Neutral","Neutral","Dry","VeryWet","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","DCVZFavor","Weak","Weak","Weak","Some","LittleChange","LittleChange","Negative","Decreasing","SIG","Aug20_Sep15","I","CThruK","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Instability","Average","LessUnstable","HI","PartInhibit","Strong","Moderate","I","XNIL","XNIL","SIG","LowSHighN","Steep","Average","Steep","StrongFront","DryMMoistL","Other","NegToPos","QStationary","LV","Westerly","E_NE"
"Down","WeakUp","WeakUp","Neutral","Neutral","Neutral","VeryWet","Neutral","Neutral","Cloudy","Clear","PC","PC","Strong","Strong","Westerly","Strong","Weak","Strong","Some","LittleChange","LittleChange","Neutral","Decreasing","SIG","Jul2_Jul15","E","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N1GtLIGt_4","Stability","Average","LessUnstable","ACEFK","PartInhibit","Weak","Slight","E","XNIL","XNIL","SIG","LowMtsHighPl","Steep","Dry","Steep","NoMajor","MoistMDryL","DryLine","PosToNeg","None","NWQuad","Westerly","LV"
"Down","StronUp","Neutral","Neutral","Neutral","Dry","Wet","Neutral","Wet","Clear","Clear","Clear","Clear","None","None","Other","None","Weak","None","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","May15_Jun14","I","CThruK","PartInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","MoreUnstable","Average","HI","None","Moderate","Strong","I","SIG","SIG","SIG","LowSHighN","ModerateOrLe","Average","ModerateOrLe","MarkedUpper","DryMMoistL","E_W_S","SigNegative","Moving","SWQuad","LVorOther","LV"
"StrongUp","WeakUp","Neutral","WeakUp","WeakUp","Dry","Wet","Dry","Dry","Cloudy","PC","Cloudy","PC","Weak","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Jul2_Jul15","J","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","LIGt0","Stability","LessUnstable","LessUnstable","GJ","Stifling","Weak","None","J","SIG","SIG","SIG","LowAtStation","ModerateOrLe","Average","Steep","NoMajor","DryMMoistL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"Down","WeakUp","Down","Down","Down","Wet","Neutral","Wet","Wet","Clear","Clear","Clear","Clear","Weak","Strong","Other","None","None","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","May15_Jun14","J","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","Average","MoreUnstable","GJ","PartInhibit","Weak","None","J","SVR","SVR","SVR","LowEvrywhere","Steep","Dry","ModerateOrLe","NoMajor","MoistMDryL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"StrongUp","Neutral","Down","Neutral","Neutral","Neutral","Dry","Wet","Neutral","Cloudy","Clear","Cloudy","PC","None","None","Westerly","None","Weak","Weak","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N5GtLIGt_8","Instability","Average","LessUnstable","ACEFK","Stifling","Weak","None","K","XNIL","XNIL","XNIL","LowNHighS","CloseToDryAd","Dry","ModerateOrLe","MarkedUpper","MoistMDryL","E_W_N","SigPositive","None","AllElse","Westerly","WidespdDnsl"
"Down","WeakUp","Neutral","Down","Down","Wet","VeryWet","VeryWet","Wet","Clear","Clear","Clear","Clear","None","None","StrongWest","None","None","None","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","May15_Jun14","D","CThruK","None","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","D","Stifling","Moderate","None","D","SIG","SIG","SIG","LowMtsHighPl","Steep","Average","Steep","OtherRapid","DryMMoistL","DryLine","SigNegative","None","AllElse","Westerly","SEQuad"
"Neutral","WeakUp","StrongUp","StrongUp","StrongUp","Wet","Wet","Wet","VeryWet","PC","PC","PC","Cloudy","Weak","Strong","DCVZFavor","Strong","None","Weak","Marked","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","Jul16_Aug10","E","CThruK","None","LessThanAve","Average","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Moderate","Moderate","E","XNIL","XNIL","SVR","LowSHighN","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","DryLine","PosToNeg","None","LV","Westerly","LV"
"StrongUp","Neutral","StrongUp","StrongUp","StrongUp","VeryWet","Neutral","Wet","Wet","PC","Clear","Clear","Cloudy","Strong","Strong","Other","None","Strong","Strong","None","IncCapDecIns","Increasing","StrongPos","Increasing","SVR","Jul16_Aug10","J","CThruK","None","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","MoreUnstable","GJ","PartInhibit","Strong","Moderate","J","SVR","SVR","SVR","LowAtStation","Steep","Dry","ModerateOrLe","NoMajor","Other","DryLine","LittleChange","Other","LV","LVorOther","SEQuad"
"StrongUp","StronUp","Neutral","WeakUp","WeakUp","Wet","Dry","Neutral","Neutral","Cloudy","Clear","PC","PC","Weak","Strong","DCVZFavor","Strong","None","Weak","Marked","IncCapDecIns","Increasing","Neutral","Decreasing","SIG","Jun15_Jul1","B","AB","PartInhibit","LessThanAve","Average","ABI","N1GtLIGt_4","Neutral","Average","LessUnstable","B","None","Weak","Slight","B","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","VeryMoist","Steep","NoMajor","Other","DenvCyclone","LittleChange","Other","LV","LVorOther","DenvCyclone"
"Neutral","Down","Down","Down","Down","Dry","Neutral","Dry","Dry","Clear","Cloudy","Cloudy","Cloudy","Weak","Weak","Other","None","Strong","Strong","None","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","Aug20_Sep15","B","AB","TotalInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","Average","Average","B","None","Moderate","Slight","B","SIG","SIG","SIG","LowMtsHighPl","Steep","Average","Steep","NoMajor","DryMMoistL","DenvCyclone","LittleChange","Other","AllElse","LVorOther","LV"
"Neutral","StronUp","StrongUp","StrongUp","StrongUp","Neutral","VeryWet","VeryWet","VeryWet","PC","Clear","PC","Cloudy","Strong","Strong","Other","None","Weak","Strong","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Jun15_Jul1","D","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","Average","D","None","Moderate","Strong","D","SIG","SIG","SIG","LowAtStation","Stable","Dry","ModerateOrLe","OtherRapid","DryMMoistL","Other","PosToNeg","None","SWQuad","Westerly","LongAnticyc"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Dry","Dry","Dry","PC","Cloudy","PC","PC","Weak","Strong","StrongWest","Strong","Weak","Strong","Marked","DecCapIncIns","Decreasing","Neutral","LittleChange","SIG","Aug20_Sep15","C","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N5GtLIGt_8","Stability","Average","LessUnstable","ACEFK","PartInhibit","Weak","None","C","XNIL","XNIL","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","MarkedUpper","MoistMDryL","E_W_N","PosToNeg","Other","NWQuad","LVorOther","WidespdDnsl"
"Down","Neutral","Neutral","Down","Down","Neutral","VeryWet","Dry","Dry","Cloudy","Cloudy","Cloudy","PC","Strong","Strong","DCVZFavor","Weak","Weak","Strong","Marked","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Aug20_Sep15","D","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","LIGt0","Instability","LessUnstable","MoreUnstable","D","Stifling","Moderate","None","D","XNIL","XNIL","XNIL","LowMtsHighPl","CloseToDryAd","Dry","CloseToDryAd","StrongFront","MoistMDryL","None","PosToNeg","None","SWQuad","Westerly","LV"
"WeakUp","StronUp","WeakUp","WeakUp","WeakUp","Wet","Wet","Wet","VeryWet","PC","Clear","PC","Clear","Weak","Strong","Other","None","None","Weak","None","DecCapIncIns","Decreasing","WeakPos","Increasing","SIG","May15_Jun14","H","CThruK","PartInhibit","LessThanAve","LessThanAve","H","N1GtLIGt_4","Neutral","MoreUnstable","MoreUnstable","HI","Stifling","Weak","None","H","XNIL","XNIL","SIG","LowMtsHighPl","Stable","Dry","Steep","MarkedUpper","DryMMoistL","Other","SigPositive","QStationary","NWQuad","LVorOther","SEQuad"
"StrongUp","StronUp","WeakUp","StrongUp","StrongUp","Wet","Neutral","Wet","VeryWet","Clear","PC","Clear","Cloudy","None","None","DCVZFavor","None","None","None","None","IncCapDecIns","Increasing","Negative","LittleChange","XNIL","Aug20_Sep15","C","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","None","Weak","Slight","C","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Average","CloseToDryAd","OtherRapid","MoistMDryL","E_W_N","SigNegative","Other","NWQuad","Westerly","LongAnticyc"
"WeakUp","StronUp","Neutral","WeakUp","WeakUp","VeryWet","Wet","VeryWet","VeryWet","Clear","PC","Clear","PC","Strong","Strong","StrongWest","Strong","None","Weak","Some","DecCapIncIns","Decreasing","StrongPos","Increasing","XNIL","Jul16_Aug10","I","CThruK","PartInhibit","MoreThanAve","MoreThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","HI","None","Weak","Moderate","I","XNIL","XNIL","XNIL","LowSHighN","CloseToDryAd","Average","CloseToDryAd","OtherRapid","MoistMDryL","E_W_S","PosToNeg","QStationary","SWQuad","Westerly","DenvCyclone"
"Neutral","WeakUp","Neutral","Neutral","Neutral","Neutral","Wet","Dry","Dry","Clear","PC","Clear","Clear","None","None","DCVZFavor","None","None","Weak","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul2_Jul15","B","AB","None","LessThanAve","LessThanAve","ABI","LIGt0","Neutral","LessUnstable","LessUnstable","B","PartInhibit","Moderate","Moderate","B","SVR","SVR","SVR","LowMtsHighPl","Steep","Average","CloseToDryAd","NoMajor","MoistMDryL","DenvCyclone","PosToNeg","Moving","NWQuad","LVorOther","SEQuad"
"Neutral","Neutral","Neutral","Neutral","Neutral","Wet","Wet","VeryWet","VeryWet","Clear","PC","Clear","PC","Weak","Weak","DCVZFavor","Strong","Weak","Strong","Some","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","Aug20_Sep15","D","CThruK","Stifling","Average","LessThanAve","CDEJ","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","D","None","Weak","Moderate","D","XNIL","XNIL","SIG","LowSHighN","Steep","VeryMoist","CloseToDryAd","MarkedUpper","DryMMoistL","DryLine","PosToNeg","Other","LV","LVorOther","LV"
"WeakUp","Down","StrongUp","Neutral","Neutral","Dry","Wet","Neutral","Neutral","PC","Cloudy","PC","Clear","Weak","Strong","StrongWest","Strong","None","Weak","Marked","IncCapDecIns","Increasing","StrongPos","LittleChange","SVR","Aug11_Aug20","D","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","LILt_8","Stability","Average","LessUnstable","D","TotalInhibit","Unfavorable","None","D","XNIL","XNIL","SVR","LowSHighN","Steep","Average","CloseToDryAd","OtherRapid","DryMMoistL","DryLine","SigPositive","QStationary","NWQuad","Westerly","LongAnticyc"
"Down","Neutral","Neutral","Down","Down","Dry","Dry","Wet","Neutral","Clear","Clear","Clear","Clear","None","None","Westerly","None","None","Weak","None","IncCapDecIns","Increasing","Neutral","Increasing","XNIL","Aug20_Sep15","E","CThruK","PartInhibit","LessThanAve","MoreThanAve","CDEJ","LIGt0","Instability","LessUnstable","Average","ACEFK","PartInhibit","Moderate","Slight","E","XNIL","XNIL","XNIL","LowAtStation","CloseToDryAd","Average","Steep","OtherRapid","MoistMDryL","None","LittleChange","Other","SWQuad","Westerly","LV"
"Down","Down","Neutral","Down","Down","Dry","Wet","Wet","Dry","Clear","Clear","Clear","Clear","None","None","Westerly","None","None","None","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","E","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","None","Moderate","Strong","E","SIG","SIG","SIG","LowNHighS","ModerateOrLe","Average","ModerateOrLe","NoMajor","MoistMDryL","DryLine","LittleChange","None","SWQuad","Westerly","LV"
