"HISTORY","CVP","PCWP","HYPOVOLEMIA","LVEDVOLUME","LVFAILURE","STROKEVOLUME","ERRLOWOUTPUT","HRBP","HREKG","ERRCAUTER","HRSAT","INSUFFANESTH","ANAPHYLAXIS","TPR","EXPCO2","KINKEDTUBE","MINVOL","FIO2","PVSAT","SAO2","PAP","PULMEMBOLUS","SHUNT","INTUBATION","PRESS","DISCONNECT","MINVOLSET","VENTMACH","VENTTUBE","VENTLUNG","VENTALV","ARTCO2","CATECHOL","HR","CO","BP"
"TRUE","LOW","NORMAL","TRUE","LOW","TRUE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","HIGH","TRUE","LOW","NORMAL","NORMAL","HIGH","NORMAL","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","ZERO","ZERO","HIGH","LOW","HIGH","NORMAL","HIGH","HIGH","LOW"
"TRUE","HIGH","LOW","TRUE","HIGH","TRUE","HIGH","TRUE","NORMAL","NORMAL","FALSE","NORMAL","TRUE","FALSE","LOW","ZERO","TRUE","LOW","NORMAL","HIGH","HIGH","NORMAL","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","HIGH","ZERO","LOW","LOW","HIGH","NORMAL","HIGH","LOW","NORMAL"
"TRUE","LOW","HIGH","FALSE","LOW","TRUE","HIGH","TRUE","LOW","NORMAL","FALSE","HIGH","TRUE","FALSE","LOW","NORMAL","TRUE","LOW","NORMAL","HIGH","HIGH","NORMAL","TRUE","NORMAL","ONESIDED","NORMAL","FALSE","HIGH","HIGH","HIGH","LOW","LOW","HIGH","NORMAL","HIGH","HIGH","LOW"
"FALSE","NORMAL","HIGH","TRUE","NORMAL","TRUE","LOW","TRUE","HIGH","NORMAL","FALSE","LOW","TRUE","TRUE","LOW","NORMAL","TRUE","ZERO","LOW","HIGH","HIGH","NORMAL","FALSE","NORMAL","ONESIDED","NORMAL","FALSE","NORMAL","HIGH","HIGH","LOW","HIGH","HIGH","NORMAL","NORMAL","HIGH","LOW"
"TRUE","NORMAL","LOW","TRUE","HIGH","TRUE","LOW","TRUE","HIGH","NORMAL","TRUE","HIGH","TRUE","FALSE","LOW","ZERO","TRUE","ZERO","NORMAL","NORMAL","HIGH","LOW","TRUE","NORMAL","NORMAL","NORMAL","FALSE","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","HIGH","LOW","HIGH","LOW"
"TRUE","NORMAL","LOW","TRUE","HIGH","FALSE","HIGH","FALSE","LOW","HIGH","FALSE","HIGH","TRUE","FALSE","LOW","HIGH","FALSE","ZERO","NORMAL","LOW","NORMAL","NORMAL","TRUE","NORMAL","ONESIDED","LOW","FALSE","HIGH","LOW","ZERO","HIGH","HIGH","HIGH","NORMAL","NORMAL","NORMAL","HIGH"
"TRUE","NORMAL","HIGH","FALSE","NORMAL","TRUE","HIGH","TRUE","LOW","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","ZERO","TRUE","ZERO","NORMAL","HIGH","HIGH","HIGH","TRUE","NORMAL","ESOPHAGEAL","LOW","TRUE","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","HIGH","NORMAL","LOW","HIGH"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","HIGH","FALSE","HIGH","HIGH","FALSE","NORMAL","TRUE","FALSE","HIGH","HIGH","FALSE","NORMAL","NORMAL","LOW","NORMAL","NORMAL","TRUE","HIGH","NORMAL","HIGH","FALSE","HIGH","LOW","ZERO","HIGH","NORMAL","HIGH","NORMAL","HIGH","LOW","LOW"
"TRUE","HIGH","LOW","FALSE","HIGH","FALSE","HIGH","FALSE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","HIGH","HIGH","FALSE","ZERO","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","FALSE","HIGH","LOW","HIGH","NORMAL","HIGH","HIGH","NORMAL","HIGH","LOW","HIGH"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","NORMAL","FALSE","NORMAL","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","FALSE","LOW","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","FALSE","HIGH","LOW","HIGH","LOW","LOW","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","HIGH","FALSE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","NORMAL","ZERO","FALSE","NORMAL","NORMAL","LOW","LOW","HIGH","TRUE","NORMAL","NORMAL","NORMAL","TRUE","LOW","NORMAL","NORMAL","HIGH","NORMAL","HIGH","NORMAL","HIGH","LOW","HIGH"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","FALSE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","NORMAL","LOW","LOW","NORMAL","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","HIGH","NORMAL","TRUE","HIGH","FALSE","HIGH","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","HIGH","TRUE","LOW","NORMAL","LOW","NORMAL","LOW","TRUE","HIGH","NORMAL","HIGH","TRUE","HIGH","LOW","NORMAL","NORMAL","NORMAL","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","LOW","HIGH","FALSE","LOW","TRUE","LOW","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","LOW","LOW","TRUE","HIGH","NORMAL","NORMAL","HIGH","HIGH","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","ZERO","LOW","LOW","ZERO","HIGH","NORMAL","HIGH","LOW","NORMAL"
"FALSE","HIGH","LOW","TRUE","HIGH","FALSE","LOW","FALSE","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","LOW","LOW","FALSE","NORMAL","NORMAL","LOW","LOW","NORMAL","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","LOW","LOW","ZERO","ZERO","HIGH","NORMAL","HIGH","HIGH","NORMAL"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","NORMAL","FALSE","LOW","NORMAL","FALSE","HIGH","FALSE","FALSE","HIGH","LOW","TRUE","LOW","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","TRUE","HIGH","LOW","NORMAL","NORMAL","NORMAL","HIGH","HIGH","NORMAL","NORMAL","NORMAL"
"TRUE","HIGH","NORMAL","TRUE","HIGH","FALSE","NORMAL","FALSE","LOW","NORMAL","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","FALSE","LOW","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","FALSE","HIGH","LOW","ZERO","LOW","LOW","HIGH","NORMAL","NORMAL","HIGH","HIGH"
"TRUE","HIGH","NORMAL","TRUE","HIGH","FALSE","NORMAL","TRUE","HIGH","LOW","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","TRUE","NORMAL","NORMAL","HIGH","HIGH","HIGH","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","HIGH","LOW","HIGH","NORMAL","HIGH","HIGH","HIGH","LOW","HIGH"
"TRUE","LOW","HIGH","TRUE","LOW","TRUE","NORMAL","FALSE","HIGH","LOW","FALSE","NORMAL","FALSE","FALSE","LOW","NORMAL","TRUE","LOW","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","HIGH","TRUE","HIGH","ZERO","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","HIGH","NORMAL","HIGH"
"TRUE","NORMAL","HIGH","FALSE","LOW","TRUE","NORMAL","FALSE","NORMAL","HIGH","FALSE","NORMAL","TRUE","FALSE","NORMAL","ZERO","TRUE","NORMAL","NORMAL","NORMAL","HIGH","NORMAL","TRUE","HIGH","NORMAL","HIGH","TRUE","HIGH","ZERO","LOW","LOW","NORMAL","HIGH","NORMAL","NORMAL","HIGH","NORMAL"
"TRUE","HIGH","LOW","TRUE","HIGH","TRUE","LOW","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","LOW","LOW","FALSE","ZERO","NORMAL","LOW","NORMAL","NORMAL","TRUE","HIGH","NORMAL","ZERO","TRUE","HIGH","LOW","ZERO","NORMAL","HIGH","HIGH","NORMAL","HIGH","NORMAL","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","LOW","FALSE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","LOW","NORMAL","FALSE","LOW","NORMAL","LOW","LOW","NORMAL","TRUE","HIGH","NORMAL","HIGH","FALSE","LOW","NORMAL","HIGH","HIGH","LOW","HIGH","NORMAL","HIGH","LOW","LOW"
"TRUE","LOW","NORMAL","FALSE","LOW","FALSE","HIGH","TRUE","HIGH","LOW","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","TRUE","LOW","NORMAL","NORMAL","HIGH","HIGH","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","HIGH","ZERO","LOW","LOW","HIGH","HIGH","HIGH","HIGH","HIGH"
"TRUE","LOW","HIGH","TRUE","LOW","TRUE","NORMAL","FALSE","NORMAL","HIGH","FALSE","HIGH","TRUE","FALSE","NORMAL","HIGH","TRUE","HIGH","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","TRUE","HIGH","HIGH","LOW","HIGH","LOW","LOW","NORMAL","NORMAL","NORMAL","NORMAL"
"TRUE","HIGH","HIGH","FALSE","HIGH","TRUE","NORMAL","TRUE","NORMAL","NORMAL","FALSE","NORMAL","TRUE","FALSE","LOW","ZERO","FALSE","LOW","NORMAL","HIGH","HIGH","NORMAL","TRUE","HIGH","NORMAL","LOW","TRUE","NORMAL","LOW","LOW","HIGH","HIGH","LOW","NORMAL","HIGH","HIGH","LOW"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","LOW","ZERO","FALSE","LOW","NORMAL","HIGH","HIGH","NORMAL","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","NORMAL","ZERO","LOW","NORMAL","HIGH","HIGH","HIGH","NORMAL","LOW"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","NORMAL","NORMAL","TRUE","LOW","NORMAL","HIGH","HIGH","LOW","TRUE","HIGH","NORMAL","NORMAL","FALSE","LOW","HIGH","HIGH","NORMAL","HIGH","LOW","HIGH","HIGH","NORMAL","LOW"
"TRUE","HIGH","NORMAL","TRUE","HIGH","TRUE","HIGH","TRUE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","TRUE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","FALSE","HIGH","NORMAL","NORMAL","LOW","ZERO","HIGH","NORMAL","HIGH","NORMAL","HIGH"
"TRUE","HIGH","LOW","TRUE","HIGH","TRUE","LOW","FALSE","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","NORMAL","ZERO","FALSE","LOW","NORMAL","LOW","LOW","NORMAL","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","HIGH","LOW","NORMAL","HIGH","HIGH","NORMAL","HIGH","HIGH","NORMAL"
"TRUE","HIGH","NORMAL","TRUE","HIGH","FALSE","LOW","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","LOW","HIGH","TRUE","ZERO","NORMAL","NORMAL","HIGH","HIGH","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","ZERO","ZERO","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","TRUE","NORMAL","FALSE","NORMAL","LOW","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","FALSE","ZERO","LOW","HIGH","HIGH","LOW","TRUE","HIGH","NORMAL","NORMAL","FALSE","NORMAL","HIGH","ZERO","NORMAL","LOW","LOW","NORMAL","HIGH","NORMAL","LOW"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","NORMAL","FALSE","HIGH","NORMAL","FALSE","LOW","TRUE","FALSE","NORMAL","LOW","FALSE","NORMAL","NORMAL","LOW","NORMAL","NORMAL","TRUE","HIGH","NORMAL","ZERO","TRUE","HIGH","NORMAL","HIGH","HIGH","ZERO","HIGH","HIGH","HIGH","NORMAL","LOW"
"TRUE","NORMAL","LOW","TRUE","HIGH","FALSE","HIGH","FALSE","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","HIGH","ZERO","FALSE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","ZERO","LOW","NORMAL","ZERO","HIGH","HIGH","HIGH","LOW","NORMAL"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","HIGH","FALSE","LOW","HIGH","FALSE","HIGH","TRUE","FALSE","HIGH","NORMAL","FALSE","ZERO","NORMAL","NORMAL","HIGH","HIGH","TRUE","HIGH","NORMAL","LOW","TRUE","LOW","NORMAL","LOW","NORMAL","HIGH","HIGH","NORMAL","NORMAL","HIGH","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","NORMAL","FALSE","TRUE","HIGH","LOW","TRUE","LOW","NORMAL","LOW","LOW","LOW","TRUE","NORMAL","NORMAL","HIGH","TRUE","LOW","NORMAL","ZERO","HIGH","LOW","HIGH","HIGH","HIGH","NORMAL","HIGH"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","FALSE","NORMAL","FALSE","LOW","NORMAL","FALSE","HIGH","FALSE","FALSE","NORMAL","ZERO","TRUE","HIGH","NORMAL","NORMAL","LOW","LOW","TRUE","HIGH","NORMAL","NORMAL","TRUE","LOW","ZERO","ZERO","LOW","LOW","LOW","NORMAL","NORMAL","HIGH","LOW"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","TRUE","LOW","FALSE","HIGH","LOW","FALSE","NORMAL","FALSE","FALSE","HIGH","ZERO","TRUE","HIGH","NORMAL","LOW","LOW","LOW","TRUE","NORMAL","ONESIDED","ZERO","TRUE","HIGH","NORMAL","ZERO","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH"
"TRUE","LOW","LOW","TRUE","LOW","TRUE","HIGH","TRUE","HIGH","NORMAL","TRUE","LOW","FALSE","TRUE","NORMAL","LOW","TRUE","LOW","NORMAL","LOW","LOW","HIGH","FALSE","HIGH","NORMAL","LOW","TRUE","HIGH","NORMAL","LOW","LOW","ZERO","HIGH","NORMAL","HIGH","NORMAL","LOW"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","LOW","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","NORMAL","LOW","FALSE","HIGH","LOW","LOW","LOW","NORMAL","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","LOW","ZERO","ZERO","LOW","HIGH","NORMAL","HIGH","NORMAL","LOW"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","LOW","TRUE","TRUE","NORMAL","LOW","TRUE","NORMAL","NORMAL","LOW","NORMAL","NORMAL","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","ZERO","LOW","HIGH","ZERO","HIGH","NORMAL","HIGH","LOW","NORMAL"
"TRUE","NORMAL","HIGH","TRUE","NORMAL","TRUE","LOW","FALSE","HIGH","NORMAL","FALSE","LOW","TRUE","FALSE","HIGH","ZERO","FALSE","NORMAL","NORMAL","NORMAL","NORMAL","HIGH","TRUE","HIGH","ONESIDED","ZERO","FALSE","LOW","HIGH","LOW","ZERO","ZERO","LOW","NORMAL","HIGH","LOW","LOW"
"TRUE","HIGH","LOW","FALSE","NORMAL","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","NORMAL","LOW","FALSE","HIGH","NORMAL","HIGH","HIGH","HIGH","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","LOW","ZERO","NORMAL","ZERO","HIGH","HIGH","HIGH","HIGH","LOW"
"FALSE","HIGH","LOW","TRUE","HIGH","TRUE","HIGH","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","HIGH","NORMAL","FALSE","LOW","NORMAL","LOW","NORMAL","HIGH","TRUE","NORMAL","NORMAL","HIGH","TRUE","HIGH","LOW","HIGH","NORMAL","ZERO","HIGH","NORMAL","HIGH","HIGH","HIGH"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","NORMAL","TRUE","FALSE","NORMAL","ZERO","FALSE","LOW","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","LOW","TRUE","HIGH","LOW","LOW","ZERO","NORMAL","NORMAL","HIGH","HIGH","LOW","HIGH"
"TRUE","HIGH","NORMAL","FALSE","NORMAL","FALSE","NORMAL","FALSE","HIGH","LOW","FALSE","NORMAL","TRUE","FALSE","HIGH","HIGH","FALSE","ZERO","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","NORMAL","LOW","LOW","HIGH","LOW","HIGH","HIGH","NORMAL","LOW"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","NORMAL","FALSE","LOW","LOW","TRUE","LOW","FALSE","FALSE","HIGH","NORMAL","TRUE","LOW","LOW","LOW","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","ZERO","NORMAL","LOW","LOW","HIGH","HIGH","HIGH","HIGH","LOW"
"TRUE","NORMAL","HIGH","FALSE","NORMAL","FALSE","NORMAL","TRUE","HIGH","NORMAL","FALSE","HIGH","TRUE","FALSE","NORMAL","LOW","FALSE","NORMAL","NORMAL","LOW","NORMAL","HIGH","TRUE","NORMAL","NORMAL","ZERO","TRUE","LOW","NORMAL","LOW","HIGH","HIGH","LOW","HIGH","HIGH","LOW","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","TRUE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","FALSE","FALSE","NORMAL","NORMAL","TRUE","NORMAL","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","TRUE","HIGH","NORMAL","ZERO","HIGH","HIGH","HIGH","HIGH","HIGH","LOW","LOW"
"TRUE","HIGH","NORMAL","FALSE","HIGH","FALSE","HIGH","FALSE","LOW","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","TRUE","LOW","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","NORMAL","HIGH","LOW","NORMAL","HIGH","NORMAL","NORMAL","HIGH","NORMAL"
"TRUE","HIGH","LOW","TRUE","HIGH","TRUE","LOW","FALSE","NORMAL","NORMAL","FALSE","NORMAL","FALSE","FALSE","NORMAL","LOW","FALSE","HIGH","NORMAL","LOW","NORMAL","NORMAL","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","LOW","NORMAL","NORMAL","ZERO","HIGH","HIGH","NORMAL","HIGH","NORMAL"
"FALSE","NORMAL","HIGH","TRUE","HIGH","TRUE","HIGH","FALSE","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","HIGH","LOW","TRUE","NORMAL","NORMAL","HIGH","LOW","LOW","TRUE","HIGH","NORMAL","ZERO","FALSE","LOW","HIGH","HIGH","ZERO","HIGH","LOW","NORMAL","HIGH","HIGH","HIGH"
"TRUE","HIGH","NORMAL","TRUE","LOW","FALSE","HIGH","FALSE","LOW","NORMAL","FALSE","NORMAL","FALSE","FALSE","HIGH","LOW","TRUE","NORMAL","NORMAL","LOW","LOW","NORMAL","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","NORMAL","LOW","LOW","NORMAL","LOW","HIGH","NORMAL","HIGH","NORMAL"
"TRUE","LOW","NORMAL","TRUE","LOW","TRUE","NORMAL","FALSE","HIGH","NORMAL","FALSE","NORMAL","TRUE","FALSE","NORMAL","LOW","FALSE","HIGH","NORMAL","NORMAL","HIGH","HIGH","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","HIGH","NORMAL","ZERO","LOW","HIGH","NORMAL","HIGH","HIGH","HIGH"
"TRUE","LOW","NORMAL","TRUE","LOW","FALSE","NORMAL","FALSE","LOW","NORMAL","FALSE","LOW","TRUE","FALSE","HIGH","HIGH","FALSE","NORMAL","NORMAL","LOW","LOW","HIGH","TRUE","HIGH","ESOPHAGEAL","NORMAL","TRUE","HIGH","NORMAL","LOW","HIGH","ZERO","NORMAL","HIGH","NORMAL","HIGH","HIGH"
"TRUE","HIGH","LOW","TRUE","HIGH","FALSE","LOW","TRUE","HIGH","HIGH","TRUE","LOW","FALSE","FALSE","NORMAL","LOW","FALSE","HIGH","NORMAL","NORMAL","HIGH","LOW","FALSE","HIGH","NORMAL","HIGH","TRUE","HIGH","ZERO","LOW","NORMAL","ZERO","HIGH","NORMAL","HIGH","LOW","NORMAL"
"TRUE","NORMAL","LOW","TRUE","HIGH","FALSE","NORMAL","FALSE","NORMAL","NORMAL","FALSE","LOW","TRUE","TRUE","LOW","ZERO","TRUE","ZERO","NORMAL","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","HIGH","TRUE","LOW","LOW","LOW","ZERO","ZERO","HIGH","HIGH","NORMAL","HIGH","HIGH"
"FALSE","NORMAL","HIGH","TRUE","NORMAL","TRUE","HIGH","FALSE","HIGH","NORMAL","TRUE","LOW","TRUE","FALSE","NORMAL","LOW","TRUE","HIGH","LOW","LOW","NORMAL","HIGH","TRUE","HIGH","NORMAL","ZERO","TRUE","LOW","ZERO","LOW","NORMAL","NORMAL","HIGH","NORMAL","LOW","HIGH","HIGH"
"TRUE","HIGH","LOW","TRUE","HIGH","TRUE","NORMAL","FALSE","HIGH","LOW","FALSE","LOW","TRUE","FALSE","NORMAL","ZERO","FALSE","LOW","NORMAL","LOW","LOW","LOW","TRUE","HIGH","NORMAL","NORMAL","TRUE","LOW","NORMAL","LOW","ZERO","ZERO","HIGH","HIGH","HIGH","LOW","NORMAL"
"TRUE","HIGH","LOW","FALSE","HIGH","FALSE","LOW","FALSE","HIGH","HIGH","TRUE","HIGH","FALSE","FALSE","NORMAL","NORMAL","FALSE","LOW","NORMAL","LOW","LOW","NORMAL","TRUE","HIGH","ESOPHAGEAL","HIGH","FALSE","NORMAL","LOW","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","NORMAL","NORMAL"
"TRUE","HIGH","NORMAL","TRUE","HIGH","FALSE","NORMAL","FALSE","HIGH","NORMAL","TRUE","NORMAL","FALSE","FALSE","LOW","NORMAL","FALSE","LOW","NORMAL","LOW","LOW","HIGH","TRUE","HIGH","NORMAL","NORMAL","TRUE","HIGH","NORMAL","LOW","ZERO","ZERO","HIGH","NORMAL","LOW","HIGH","LOW"
"TRUE","LOW","LOW","TRUE","HIGH","FALSE","NORMAL","FALSE","HIGH","NORMAL","FALSE","LOW","FALSE","FALSE","LOW","LOW","FALSE","HIGH","NORMAL","HIGH","HIGH","HIGH","TRUE","NORMAL","NORMAL","NORMAL","TRUE","HIGH","HIGH","ZERO","HIGH","LOW","HIGH","NORMAL","HIGH","HIGH","NORMAL"
