"GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"False","Adult","UpperMiddle","Normal","Current","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Secure","True","HundredThou","HundredThou","True","Thousand","Excellent","True","Thousand","Many"
"True","Adolescent","UpperMiddle","Adventurous","Current","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","Normal","False","HundredThou","False","TwentyThou","Suburb","True","HundredThou","HundredThou","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","UpperMiddle","Adventurous","Current","None","Football","None","Luxury","Excellent","Domino","True","Normal","False","Thousand","False","FiftyThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Normal","Current","Severe","EggShell","Severe","SportsCar","Poor","FiftyThou","True","SubStandard","False","HundredThou","False","TwentyThou","City","False","HundredThou","TenThou","False","TenThou","Fair","True","Thousand","One"
"False","Senior","UpperMiddle","Cautious","Current","None","Football","None","Luxury","Normal","Domino","True","Normal","True","Thousand","False","FiftyThou","Secure","True","TenThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","EggShell","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adolescent","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiveThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"True","Adolescent","Middle","Normal","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Suburb","False","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Adventurous","Current","None","Football","None","FamilySedan","Excellent","Domino","True","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"False","Senior","Prole","Cautious","Older","None","Tank","None","FamilySedan","Excellent","TwentyThou","False","Normal","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","Middle","Normal","Older","Severe","Tank","Severe","FamilySedan","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","HundredThou","TenThou","True","Thousand","Good","False","Thousand","One"
"False","Adolescent","Prole","Normal","Current","None","EggShell","None","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
"False","Senior","Prole","Adventurous","Older","Mild","EggShell","Mild","Economy","Poor","FiveThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adult","Prole","Cautious","Older","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Rural","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Many"
"False","Senior","UpperMiddle","Adventurous","Current","None","EggShell","None","SportsCar","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Many"
"False","Adult","Middle","Normal","Older","None","Football","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Middle","Normal","Older","Moderate","EggShell","Moderate","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","Thousand","True","Thousand","Good","True","Million","Many"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","Suburb","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adult","UpperMiddle","Cautious","Current","Moderate","EggShell","Mild","FamilySedan","Normal","FiftyThou","False","Normal","False","HundredThou","False","TwentyThou","Secure","True","HundredThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Moderate","EggShell","Moderate","Economy","Normal","TwentyThou","False","Normal","False","TenThou","False","FiveThou","City","False","TenThou","TenThou","False","Thousand","Poor","False","Thousand","Zero"
"False","Senior","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adolescent","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","UpperMiddle","Normal","Current","None","Football","None","SportsCar","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Suburb","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Middle","Normal","Older","Moderate","Tank","Moderate","FamilySedan","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Suburb","True","TenThou","Thousand","True","Thousand","Good","False","Thousand","Many"
"False","Adolescent","Middle","Normal","Current","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Suburb","False","HundredThou","HundredThou","True","Thousand","Excellent","True","TenThou","Many"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","City","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Middle","Cautious","Current","None","Football","None","FamilySedan","Excellent","FiftyThou","True","Expert","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Senior","UpperMiddle","Cautious","Current","None","Football","None","Luxury","Excellent","FiftyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","False","Thousand","Fair","True","Thousand","Zero"
"False","Adult","Middle","Cautious","Older","None","Football","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Middle","Normal","Older","None","Tank","None","FamilySedan","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adolescent","UpperMiddle","Normal","Older","None","Tank","Mild","Luxury","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"False","Adult","Middle","Cautious","Current","Mild","Football","Mild","FamilySedan","Poor","TwentyThou","True","SubStandard","False","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Middle","Adventurous","Current","None","EggShell","None","FamilySedan","Excellent","FiftyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Middle","Normal","Older","Severe","Football","Severe","FamilySedan","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","TenThou","True","Thousand","Good","True","Thousand","Many"
"False","Senior","Prole","Normal","Older","Severe","EggShell","Severe","SportsCar","Poor","TwentyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","HundredThou","HundredThou","False","Thousand","Poor","False","Thousand","Many"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Senior","Middle","Cautious","Older","None","EggShell","None","SportsCar","Normal","TwentyThou","False","Normal","True","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","Football","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","Thousand","False","HundredThou","Fair","True","TenThou","Many"
"False","Adult","UpperMiddle","Normal","Current","Mild","Football","Mild","Luxury","Normal","FiftyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","TenThou","Thousand","False","Thousand","Fair","True","Thousand","Zero"
"False","Adult","Wealthy","Adventurous","Older","None","Football","None","Luxury","Normal","FiftyThou","False","Normal","False","Thousand","False","FiftyThou","Secure","False","TenThou","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
"False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","SportsCar","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","False","Million","Poor","False","Thousand","Zero"
"True","Adolescent","Prole","Adventurous","Current","Severe","Football","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","True","Thousand","Good","True","Million","Many"
"False","Adult","Middle","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Senior","Prole","Adventurous","Older","Moderate","Tank","Moderate","FamilySedan","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Rural","False","HundredThou","HundredThou","False","Thousand","Excellent","False","Thousand","Many"
"False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Prole","Normal","Current","Mild","EggShell","Mild","FamilySedan","Poor","FiveThou","True","SubStandard","False","Thousand","False","TenThou","City","False","TenThou","Thousand","False","TenThou","Fair","True","Thousand","One"
"False","Adult","Prole","Adventurous","Older","Mild","Tank","Mild","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"False","Adult","UpperMiddle","Adventurous","Current","None","EggShell","None","FamilySedan","Excellent","TwentyThou","False","Expert","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","One"
"False","Senior","Middle","Cautious","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","True","Thousand","False","TwentyThou","Secure","True","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","HundredThou","False","TwentyThou","Suburb","False","HundredThou","HundredThou","True","Thousand","Good","False","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","Mild","EggShell","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adult","Wealthy","Normal","Current","None","Football","None","SuperLuxury","Excellent","TwentyThou","True","Expert","False","Thousand","False","Million","Secure","True","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Adult","Middle","Adventurous","Older","None","Football","None","FamilySedan","Poor","FiveThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","Moderate","EggShell","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Many"
"False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Senior","UpperMiddle","Adventurous","Current","None","Football","None","FamilySedan","Excellent","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Secure","False","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adolescent","Prole","Cautious","Older","None","Tank","None","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Rural","True","TenThou","Thousand","False","Thousand","Good","False","Thousand","Zero"
"False","Adult","UpperMiddle","Adventurous","Current","Mild","Football","Mild","Economy","Poor","Domino","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Good","True","Thousand","Many"
"False","Senior","Prole","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","True","Thousand","False","TwentyThou","City","False","TenThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Senior","UpperMiddle","Normal","Older","Mild","Tank","Moderate","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","TenThou","Suburb","True","TenThou","Thousand","True","Thousand","Excellent","False","Thousand","Many"
"False","Senior","Middle","Cautious","Older","None","Football","None","FamilySedan","Normal","FiveThou","False","Normal","True","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adolescent","UpperMiddle","Adventurous","Current","Mild","EggShell","Mild","Luxury","Poor","FiftyThou","True","SubStandard","False","Thousand","False","FiftyThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Many"
"False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiveThou","False","SubStandard","False","Thousand","False","TenThou","Rural","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adult","Middle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiveThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"False","Adolescent","Prole","Psychopath","Older","Mild","Football","Mild","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
"False","Adolescent","Middle","Normal","Current","Moderate","EggShell","Moderate","FamilySedan","Poor","FiftyThou","True","SubStandard","False","TenThou","False","TenThou","Suburb","True","TenThou","Thousand","False","Thousand","Fair","True","Thousand","Many"
"False","Adult","Middle","Cautious","Current","None","Football","None","FamilySedan","Excellent","TwentyThou","False","Expert","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Middle","Adventurous","Older","Moderate","Football","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
"False","Senior","UpperMiddle","Cautious","Current","None","Football","None","FamilySedan","Excellent","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"False","Adult","Prole","Adventurous","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","TenThou","Thousand","False","TenThou","Poor","False","Thousand","Many"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Senior","Prole","Normal","Current","None","Football","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"False","Senior","Prole","Cautious","Older","Severe","Tank","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","True","TenThou","False","FiveThou","City","True","HundredThou","HundredThou","True","HundredThou","Excellent","False","Thousand","Many"
"False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Many"
"False","Adult","Middle","Adventurous","Older","Severe","Football","Severe","FamilySedan","Poor","FiftyThou","False","Normal","False","TenThou","False","FiveThou","City","False","TenThou","TenThou","True","TenThou","Poor","False","Thousand","Zero"
"False","Adult","Middle","Cautious","Older","None","EggShell","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adolescent","Middle","Normal","Older","None","Tank","None","FamilySedan","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","True","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","One"
"False","Adult","Prole","Adventurous","Older","None","Football","None","Economy","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Adult","Middle","Normal","Older","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"False","Senior","Middle","Normal","Older","None","Football","None","FamilySedan","Excellent","Domino","False","Expert","False","Thousand","False","FiveThou","Suburb","True","TenThou","Thousand","False","Thousand","Good","False","Thousand","Zero"
"False","Adult","Middle","Normal","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"False","Adult","Middle","Psychopath","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Many"
"False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiveThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"False","Adult","UpperMiddle","Cautious","Older","Moderate","EggShell","Moderate","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","FiveThou","Secure","True","TenThou","Thousand","True","HundredThou","Poor","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Prole","Psychopath","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Suburb","False","Thousand","Thousand","False","Thousand","Poor","False","Thousand","One"
"False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"False","Adult","Middle","Adventurous","Older","None","Football","None","FamilySedan","Excellent","FiveThou","False","Expert","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","One"
"False","Adolescent","Prole","Adventurous","Older","Moderate","Football","Moderate","SportsCar","Poor","Domino","False","SubStandard","False","TenThou","False","TenThou","City","False","HundredThou","HundredThou","True","Thousand","Good","False","Thousand","Many"
"True","Adolescent","UpperMiddle","Adventurous","Current","Moderate","EggShell","Moderate","SportsCar","Poor","TwentyThou","True","SubStandard","False","HundredThou","False","FiftyThou","City","False","HundredThou","HundredThou","True","Thousand","Fair","True","Thousand","Many"
"False","Adolescent","Middle","Normal","Current","None","EggShell","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Rural","True","TenThou","Thousand","True","Thousand","Good","True","Thousand","Zero"
"False","Adolescent","Middle","Normal","Current","None","EggShell","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Suburb","True","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Fair","False","Thousand","Zero"
"False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Rural","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
